ward,year,streets,lighting,parks,schools,cameras,misc,arts,trees,other,libraries
39,2016,1314199.99,5800,0,0,0,0,0,0,0,0
39,2017,1279349.99,20650,0,0,0,0,10000,0,10000,0
39,2018,1183299.99,30700,93000,0,0,0,3000,10000,0,0
40,2012,1301699,14700,0,0,3600,0,0,0,0,0
40,2013,1269678,2400,0,0,0,47922,0,0,0,0
40,2014,1159931,145050,0,0,0,14823,0,0,0,0
40,2015,1298000,0,0,0,0,22000,0,0,0,0
40,2016,915249.93,402950,0,0,0,1800,0,0,0,0
40,2017,1208999.99,101000,0,0,0,0,10000,0,0,0
40,2018,1040409.97,278886,0,0,0,0,0,0,0,0
41,2012,1199011,350,120000,0,0,0,0,0,0,0
41,2013,1316999,0,0,0,0,3000,0,0,0,0
41,2014,1294999,21000,0,0,0,4000,0,0,0,0
41,2015,1302501,12500,0,0,0,5000,0,0,0,0
41,2016,1309068.54,1200,9730.98,0,0,0,0,0,0,0
41,2017,1194338.99,51650,30000,0,27011,0,5000,12000,0,0
41,2018,1041499.99,1500,275000,0,0,0,0,0,2000,0
42,2012,1079632,240200,0,0,0,0,0,0,0,0
42,2013,1232089,87300,0,0,0,0,0,0,0,0
42,2014,1053124,266649,0,0,0,0,0,0,0,0
42,2015,1172206,147795,0,0,0,0,0,0,0,0
42,2016,581346.67,738653.3,0,0,0,0,0,0,0,0
42,2017,997676.34,253301,0,0,54022,0,10000,0,0,0
42,2018,760823.86,218997,20000,0,270110,0,0,0,0,0
43,2012,1237530,72470,10000,0,0,0,0,0,0,0
43,2013,1248299,4613,0,28500,0,35560,0,0,0,0
43,2014,1296828,4550,0,0,0,18620,0,0,0,0
43,2015,948799,292700,78500,0,0,0,0,0,0,0
43,2016,1003599.99,316400,0,0,0,0,0,0,0,0
43,2017,281865.99,947500,30000,0,0,0,10000,50000,634,0
43,2018,1272957.43,6900,39000,0,0,0,0,0,0,0
44,2012,613795,705350,0,0,0,784,0,0,0,0
44,2013,743399,576600,0,0,0,0,0,0,0,0
44,2014,580460,452150,0,287200,0,0,0,0,0,0
44,2015,1059404,202609,44988,13000,0,0,0,0,0,0
44,2016,787988.99,205000,200000,0,27011,0,0,0,100000,0
44,2017,1032024.99,267975,0,0,0,0,20000,0,0,0
44,2018,1015499.99,237000,0,60000,0,0,0,7500,0,0
45,2012,1000000,320000,0,0,0,0,0,0,0,0
45,2013,1000457,2800,2500,183100,0,131000,0,0,0,0
45,2014,1219508,0,100000,0,0,0,0,0,0,0
45,2015,913999,156000,0,0,0,200000,0,0,0,0
45,2016,1084449.99,27550,15000,0,0,0,0,193000,0,0
45,2017,1221540.14,0,0,0,0,18000,10000,0,0,0
45,2018,1276404.67,500,0,0,0,15909.13,0,0,0,0
46,2012,302767,1003800,0,0,0,0,0,0,0,0
46,2013,1189407,82000,0,0,45000,0,0,0,0,0
46,2014,1309468,0,0,0,0,10000,0,0,0,0
